datetime;open;high;low;close;volume;adjclose
1999-03-08;51.125;51.734375;49.65625;50.0625;23664200;42.18441390991211
1999-03-15;50.4375;53.25;49.90625;51.21875;27248600;43.158714294433594
1999-03-22;51.4375;52.46875;48.5;51.75;40824200;43.60635757446289
1999-03-29;52.375;54.1875;52.0625;53.5625;27026800;45.133636474609375
1999-04-05;54.4296875;56.25;53.8125;55.8125;38042400;47.029579162597656
1999-04-12;54.5;55.90625;51.125;51.96875;77074600;43.790706634521484
1999-04-19;52.3125;55.71875;48.84375;55.3125;68509600;46.60824966430664
1999-04-26;55.6875;57.28125;51.8125;53.71875;64024000;45.26530456542969
1999-05-03;53.5625;54.375;51.03125;52.96875;70784600;44.633323669433594
1999-05-10;53.3125;56.0;52.6875;53.40625;53981800;45.001983642578125
1999-05-17;52.9375;54.9921875;52.4140625;52.875;44116000;44.554325103759766
1999-05-24;52.96875;53.0625;48.9375;52.03125;90417600;43.84335708618164
1999-05-31;51.9375;52.7421875;49.5703125;52.5625;43091800;44.29100036621094
1999-06-07;52.9296875;54.03125;51.3125;51.78125;53971000;43.63270568847656
1999-06-14;51.96875;55.21875;50.6875;55.0625;60015800;46.397586822509766
1999-06-21;55.4375;57.09375;54.1875;54.6875;54659400;46.08161544799805
1999-06-28;55.15625;59.9375;54.703125;58.75;46258800;49.50480270385742
1999-07-05;59.0625;59.90625;57.9375;59.84375;34746600;50.42642593383789
1999-07-12;60.0625;61.71875;58.78125;61.375;32409200;51.71674346923828
1999-07-19;61.625;61.625;56.6875;57.28125;59914200;48.2672004699707
1999-07-26;56.5;58.4375;55.78125;56.59375;58595800;47.68787384033203
1999-08-02;56.6875;57.8125;53.75;55.328125;66962400;46.62140655517578
1999-08-09;55.53125;57.71875;52.9375;57.65625;64909600;48.58318328857422
1999-08-16;57.625;58.84375;56.6953125;57.96875;46992800;48.846500396728516
1999-08-23;58.5;61.75;58.3671875;59.875;54283800;50.45279312133789
