datetime;open;high;low;close;volume
2021-08-02;45.19000;48.19000;43.61000;46.63000;56371600
2021-08-09;46.90000;47.27000;41.56000;43.48000;43356700
2021-08-16;42.91000;43.43000;37.14000;40.43000;56990000
2021-08-23;41.40000;47.5;41.40000;47.30000;52799600
2021-08-30;47.78000;49;45.37000;47.24000;41701400
2021-09-06;47.36000;48.63000;43.76000;46.59000;40490800
2021-09-13;47.80000;49.53000;45.93000;46.75;54380700
2021-09-20;43.75;48.55000;41.16000;47.95000;59804800
2021-09-27;46.52000;48.18000;38.060001;40.070000;84957900
2021-10-04;39.31000;42.029999;36.57000;39.33000;75684000
2021-10-11;38.76000;42.29000;36.47000;41.84000;66743800
2021-10-18;41.14000;46.23000;40.44000;44.049999;52594000
2021-10-25;44.60000;47.65000;43.56000;47.65000;63490200
2021-11-01;47.79000;62.40000;47.45000;60.91000;78616000
2021-11-08;62.099998;65.63000;57.070000;63.35000;75746500
2021-11-15;64.73000;69.87000;61.26000;68.61000;64797100
2021-11-22;69.54000;72.49000;59.85000;61.37000;62725400
2021-11-29;63.95000;70.96000;59.68000;62.93000;105254700
2021-12-06;62.060001;72.52000;56.78000;67.60000;74833600
2021-12-13;68.019997;69.5;56.86000;58.96000;91299500
2021-12-20;56.14000;68.75;55.47000;67.41000;63677000
2021-12-27;68.099998;74.070000;67.83000;68.010002;62042000
2022-01-03;69.050003;74.21000;59.14000;59.74000;100572800
2022-01-10;57.34000;69.18000;53.82000;64.48000;119305700
2022-01-17;60.91000;61.38000;43.40000;43.71000;136003800
2022-01-24;41;47.099998;33.099998;38.41000;234260400
2022-01-31;38.99000;49.5;38.30000;43.46000;181157600
2022-02-07;43.64000;52.21000;38.42000;39.54000;199955400
2022-02-14;39.75;46.5;37.77000;39.63000;207249800
2022-02-21;38.23000;41.84000;31.55000;41.78000;211907300
2022-02-28;40.20000;42.23000;33.36000;34.77000;224172800
2022-03-07;34.82000;35.66000;28.48000;30.69000;243554500
2022-03-14;30.010000;39.67000;27.30000;39.17000;224133600
2022-03-21;38.70000;42.37000;36.59000;42.0099983;192282600
2022-03-28;41.20000;46;34.62000;36.29000;210301100
2022-04-04;36.58000;38.22000;28.15000;28.29000;282263200
2022-04-11;27.040001;28.84000;25.54000;25.61000;229028600
2022-04-18;25.26000;30.85000;24.37000;24.45000;257770100
2022-04-25;23.89000;26.30000;21.48000;22.24000;277316400
2022-05-02;22.38000;28.14000;21.81000;23.35000;325750000
2022-05-09;21.82000;22.91000;17.96000;22.49000;367737600
2022-05-16;21.86000;24.74000;17.66000;20.36000;325658500
2022-05-23;19.93000;25.44000;18.44000;25.26000;281526800
2022-05-30;25.14000;26.28000;22.71000;23.93000;192582600
2022-06-06;25.25;25.58000;18.66000;18.81000;212944300
2022-06-13;16.93000;17.43000;12.78000;13.70000;361082400
2022-06-20;14.54000;15.85000;13.34000;15.81000;215058500
2022-06-27;16.31000;16.58000;11.13000;11.60000;324243200
2022-07-04;10.74000;14.17000;10.53000;13.91000;313483500
2022-07-11;13.25;15.15000;12.13000;15.11000;328243400
2022-07-18;15.83000;19.12000;14.63000;17.65000;394066000
2022-07-25;17.23000;19.99000;16.25;19.83000;301955700
2022-08-01;19.41000;22.27000;19.030001;21.56000;295598600
2022-08-08;20.65000;21.72000;16.91000;21.60000;321064200
2022-08-15;21.24000;21.97000;18.71000;19.17000;266249200
2022-08-22;18.10000;19.38000;15.95000;15.98000;286536800
2022-08-29;15.48000;16.049999;11.97000;12.86000;439079100
2022-09-05;12.91000;14.85000;12.070000;14.65000;344719000
2022-09-12;14.83000;15.050000;11.18000;12.060000;401228500
2022-09-19;11.62000;12.92000;9.45000;10.030000;503274000
2022-09-26;9.91000;10.36000;8.74000;8.86000;569373800
2022-10-03;9.090000;11.92000;8.88000;9.21000;603360700
2022-10-10;9.070000;9.090000;6.21000;6.93000;922189200
2022-10-17;7.47000;8.64000;7.040000;8.58000;782331500
2022-10-24;8.64000;9.67000;8.080000;9.5;676878100
2022-10-31;9.30000;9.77000;7.53000;8.99000;710685200
2022-11-07;9.27000;13.41000;8.88000;13.22000;723403600
2022-11-14;12.99000;14.44000;11.31000;12.49000;626707200
2022-11-21;12.070000;13.75;11.74000;12.86000;326732900
2022-11-28;12.36000;14.13000;11.5;13.030000;506396500
2022-12-05;12.80000;13.16000;11.33000;12.32000;434970900
2022-12-12;12.14000;14.91000;10.77000;11.11000;589168900
2022-12-19;11.12000;11.27000;9.11000;9.77000;482417100
2022-12-26;9.58000;9.83000;8.74000;9.67000;317395200
2023-01-02;10.17000;11.070000;9.19000;10.87000;418891800
2023-01-09;11.53000;13.080000;11.19000;12.95000;517572300
2023-01-16;12.88000;13.76000;11.62000;12.79000;346090900
2023-01-23;13.18000;15.36000;13.13000;14.98000;507264900
2023-01-30;14.35000;18.40000;13.64000;16.93000;540158400
2023-02-06;16.12000;17.90000;15.25;15.80000;431989700
2023-02-13;15.99000;17.59000;15.040000;15.5;411076400
2023-02-20;14.79000;15.34000;13.54000;14.31000;307473100
2023-02-27;14.96000;15.77000;13.66000;15.68000;330570600
2023-03-06;15.83000;16.54000;13.81000;14.050000;411269200
2023-03-13;13.61000;16.90000;13.15000;16.13000;542237400
2023-03-20;16.14000;18.17000;15.78000;16.57000;421760400
2023-03-27;16.76000;18.34000;14.90000;18.30000;379149000
2023-04-03;17.92000;18.16000;15.090000;15.66000;274095100
2023-04-10;15.22000;16.79000;15.040000;15.58000;308650100
2023-04-17;15.10000;16.36000;14.48000;14.86000;300247500
2023-04-24;14.78000;15.040000;12.52000;14.23000;360488600
2023-05-01;14.46000;14.91000;13.22000;14.47000;314391500
2023-05-08;14.46000;14.70000;13.59000;14.020000;277831300
2023-05-15;14.10000;17.80000;13.97000;17.39000;336335400
2023-05-22;16.92000;23.26000;15.49000;22.88000;410440700
2023-05-29;24.57000;24.80000;20.83000;22.020000;313037200
2023-06-05;21.75;23.49000;20.43000;22.40000;243344900
2023-06-12;23.20000;26.79000;23.13000;25.24000;340065200
2023-06-19;24.86000;25.55000;21.52000;21.89000;191266600
2023-06-26;22.32000;25.17000;22.010000;24.83000;250073000
2023-07-03;25.26000;25.75;22.040001;22.96000;154159900
2023-07-10;23.16000;28.030001;23.080000;26.23000;228876700
2023-07-17;26.28000;28.55000;23.87000;24.92000;255563800
2023-07-24;24.91000;28.44000;24.21000;28.15000;267144800
2023-07-31;28.46000;28.75;24.070000;24.88000;265886700
2023-08-07;25.46000;25.78000;21.010000;21.14000;274198800
2023-08-14;20.86000;22.96000;19.11000;20.15000;269359200
2023-08-21;20.51000;23.92000;19.40000;20.66000;347530700
2023-08-28;21.26000;24.51000;20.76000;24.020000;286530800
2023-09-04;23.75;24.58000;21;21.5;187289900
2023-09-11;22.24000;22.31000;19.45000;19.79000;291832200
2023-09-18;19.29000;20.18000;17.39000;17.84000;283325700
2023-09-25;17.61000;19.66000;16.89000;18.87000;372832100
2023-10-02;18.95000;19.79000;17.53000;19.47000;373906600
2023-10-09;18.92000;21.57000;18.45000;18.98000;364998600
2023-10-16;19.13000;20;16.57000;16.64000;436540400
2023-10-23;16.35000;17.26000;14.48000;15.10000;469436400
2023-10-30;14.82000;18.76000;14.010000;18.38000;458011800
2023-11-06;18.45000;20.78000;17.73000;20.60000;331040700
2023-11-13;20.11000;23.29000;19.58000;23.13000;345364400
2023-11-20;23.090000;24.42000;22.45000;23.090000;206914000
2023-11-27;22.79000;24.30000;21.84000;23.070000;277202800
2023-12-04;22.36000;24.040001;21.29000;23.70000;314403600
2023-12-11;24.39000;31.59000;24.31000;30.57000;370784900
2023-12-18;30.56000;31.080000;28.049999;30.51000;249588400
2023-12-25;30.93000;32.78000;30.89000;31.40000;184661400
2024-01-01;29.89000;29.90000;24.80000;25.93000;290926200
2024-01-08;26.49000;29.14000;26.43000;28.10000;329795100
2024-01-15;28.15000;34.99000;26.96000;34.86000;345921800
2024-01-22;35.68000;39.53000;33.70000;34.0099983;375202200
2024-01-29;34.23000;35.13000;31.14000;33.65000;324418300
2024-02-05;34.55000;39.54000;32.66000;39.32000;317368300
2024-02-12;39.41000;41.33000;35.16000;38.33000;359040900
2024-02-19;37.24000;42.68000;34.58000;40.17000;311758900
2024-02-26;41.22000;48.95000;39.15000;48.33000;301696400
2024-03-04;50;56.99000;45.26000;48.95000;469818900
2024-03-11;46.94000;49.69000;41.62000;42.74000;395592400
2024-03-18;44.70000;48.76000;38.95000;46.43000;367485000
2024-03-25;44.5;47.37000;43.91000;46.53000;212943600
2024-04-01;46.73000;49.99000;41.94000;43.62000;328603700
2024-04-08;44.5;46.049999;41.029999;41.51000;328408300
